country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
es,Microsoft Developer,Informática y telecomunicaciones,Trentia Consulting,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,DISPATCHER //  HELPDESK,Informática y telecomunicaciones,EFEDOS CONSULTING EMPRESARIAL,Madrid,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-08-04
es,Desarrollador Java Microservicios,Informática y telecomunicaciones,ENTELGY - Zona Madrid,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Técnico informático,Informática y telecomunicaciones,"I3E IT Resources,S.L",Madrid,Contrato de duración determinada,Jornada parcial - mañana,15000.0,15000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Programador/a Java // Cliente Final // 80% Teletrabajo,Informática y telecomunicaciones,HUBTALENT,Madrid,Contrato indefinido,Jornada completa,30000.0,40000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Técnicos/as Soporte TIC Junior – Grado Superior en Informática o Telecomunicaciones,Informática y telecomunicaciones,Grupo Zelenza,Segovia,Contrato otros contratos,Jornada completa,,,,,,Híbrido,2022-08-04
es,Técnico/a soporte N1 On site,Informática y telecomunicaciones,KEAPPS,Barcelona,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-08-04
es,Desarrollador/a Full Stack,Informática y telecomunicaciones,"ELSAMEX GESTION DE INFRAESTRUCTURAS, SL",Madrid,Contrato de duración determinada,Jornada completa,,,,,,,2022-08-04
es,Consultor/a técnico y desarrollador de Producto de Nómina,Informática y telecomunicaciones,C.E. Consulting Empresarial,Majadahonda,Contrato indefinido,Jornada completa,,,,,,,2022-08-04
es,Recién titulados/as Grado Superior en Informática o Telecomunicaciones.,Informática y telecomunicaciones,Grupo Zelenza,Albacete,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-08-04
es,Frontend Developer - VueJS / React / AngularJS,Informática y telecomunicaciones,UST España,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Técnico de sistemas informaticos,Informática y telecomunicaciones,PSS,Madrid,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-08-04
es,PROJECT MANAGER IT,Informática y telecomunicaciones,R & C Associats,Andorra La Vella,Contrato indefinido,Jornada completa,40000.0,,YEAR,EUR,GROSS,Presencial,2022-08-04
es,PROGRAMADOR FRONTEND JAVASCRIPT - JUNIOR,Informática y telecomunicaciones,"SIPAY PLUS, S.L.",Alcobendas,Contrato indefinido,Jornada completa,18000.0,24000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Analistas Programador/a .Net,Informática y telecomunicaciones,Ibermática,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,DevOps junior con inglés  (100% remoto),Informática y telecomunicaciones,Walters People,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Analista Programador Java Spring Boot  (teletrabajo),Informática y telecomunicaciones,atSistemas,Badajoz,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Técnico/a de sistemas avanzado,Informática y telecomunicaciones,Sermicro,Madrid,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-08-04
